lambda0,lambda1,mu0,mu1,q0,q1,likelihood
0.02621595,0.03039837,1.118865E-006,1.742376E-005,0.0005285057,0.002721758,-18455.83
0.02590695,0.03011167,8.822556E-008,1.727263E-007,0.0004890225,0.003062622,-18497.31
0.02705223,0.03053824,4.197887e-07,1.256099e-07,0.000553,0.002462458,-18673.55
0.0267248,0.0316606,2.529845e-07,4.968706e-06,0.0004734706,0.003641276,-18696.88
0.02738314,0.03305128,5.735061e-08,1.146991e-05,0.0005223161,0.003346219,-18580.96
0.02641361,0.03003739,9.113851e-08,1.565576e-05,0.0005549091,0.002526547,-18774.08
0.02832401,0.03361548,4.187194e-07,3.583732e-07,0.0005490994,0.003367207,-18462.66
0.02690168,0.0304628,2.045382e-07,2.235657e-06,0.0005052664,0.003005493,-18710
0.02654142,0.03045744,1.494875e-06,1.511143e-06,0.000528323,0.002870778,-18752.88
0.02663994,0.03113355,1.851731e-08,1.176648e-07,0.0004989784,0.002894948,-18703.06
0.02585053,0.02985177,1.937729e-05,6.919283e-09,0.0004632205,0.002956573,-18845.48
0.02632011,0.03161072,6.393582e-07,2.550658e-06,0.0004507129,0.003526073,-18732.74
0.02690528,0.03165728,2.278383e-06,3.25154e-05,0.0004841555,0.003247907,-18675.5
0.02651176,0.03085332,1.384634e-06,1.3818e-05,0.0004831905,0.003247972,-18740.22
0.02576174,0.02952474,1.34367e-07,1.656801e-07,0.0005896729,0.002447267,-18877.95
0.02622532,0.02956966,3.550242e-05,2.801671e-05,0.0005046785,0.002715379,-18809.01
0.02730693,0.03115481,6.526173e-08,1.312976e-05,0.0006990808,0.002013869,-18648.43
0.02657601,0.03086986,4.904063e-07,2.644264e-05,0.0005149202,0.003057112,-18735.9
0.02648647,0.03201158,3.275848e-06,2.214074e-07,0.0004976253,0.003463959,-18712.4
0.02738879,0.03328177,1.740254e-06,2.304349e-08,0.000482817,0.003503316,-18562.12
0.02729485,0.03148636,3.292211e-07,1.194192e-05,0.0005605007,0.002732045,-18625.79
0.0274936,0.0325071,3.407895e-06,1.042889e-07,0.0004467258,0.003545346,-18566.01
0.02633768,0.02935923,1.017383e-07,1.323067e-07,0.0005891455,0.00243899,-18814.3
0.02595734,0.02940753,1.310639e-06,1.019541e-06,0.0005066773,0.002813447,-18844.58
0.02643802,0.02977276,3.063251e-06,8.848625e-09,0.000617644,0.002602052,-18800.78
0.02650385,0.03140045,5.0139e-08,1.888553e-07,0.0005078948,0.00295152,-18719.37
0.02639104,0.02977657,1.04728e-06,5.611468e-07,0.0005144396,0.0028885,-18784.52
0.02563421,0.02954918,1.041642e-06,1.469061e-07,0.000443988,0.003297634,-18879.87
0.02655127,0.03000652,5.177651e-07,2.902029e-06,0.0005474761,0.002648156,-18760.25
0.02626245,0.03017547,5.99835e-07,1.041209e-05,0.0005557139,0.002481806,-18783.33
0.02641766,0.03104182,9.851953e-09,2.478378e-08,0.0005029571,0.003128917,-18754.796
0.0267471,0.03128476,3.010515e-08,4.541901e-06,0.0004909054,0.002888041,-18686.05
0.02710698,0.03150252,1.676352e-08,1.857373e-06,0.0004467898,0.003455337,-18639.48
0.027544,0.03369832,8.319951e-07,2.779733e-06,0.0004730839,0.003694923,-18533.75
0.02666025,0.03152153,1.280398e-06,5.638969e-07,0.0004605798,0.003317652,-18690.88
